,id,age,household_makeup,children_ages_2_or_younger,children_ages_3_5,children_ages_6_9,children_ages_10_14,children_ages_15_17,annual_household_income,location_density,population_perc,group_population_est
70,100070,20-24,With children,y,y,n,y,n,"$200,000+",suburb,1.716108322626081e-08,5.695656180220383
71,100071,20-24,With children,y,y,n,y,n,"$200,000+",rural,4.755321758737897e-09,1.578261547187507
72,100072,20-24,With children,y,y,n,n,y,"$70,000 - $99,000",urban,5.771098159027847e-08,19.153913807623578
73,100073,20-24,With children,y,y,n,n,y,"$70,000 - $99,000",suburb,2.4909518256454833e-08,8.267313300280666
74,100074,20-24,With children,y,y,n,n,y,"$70,000 - $99,000",rural,1.4732664956144862e-08,4.889679346125179
75,100075,20-24,With children,y,y,n,n,y,"$100,000 - $199,000",urban,7.064219222846391e-08,23.44570173371478
76,100076,20-24,With children,y,y,n,n,y,"$100,000 - $199,000",suburb,3.051413901733229e-08,10.127451873913035
77,100077,20-24,With children,y,y,n,n,y,"$100,000 - $199,000",rural,1.4458342122085512e-08,4.798633313390208
78,100078,20-24,With children,y,y,n,n,y,"$200,000+",urban,3.3590916556002617e-08,11.148615093754211
79,100079,20-24,With children,y,y,n,n,y,"$200,000+",suburb,1.0209224677610507e-08,3.3883778117985686
80,100080,20-24,With children,y,y,n,n,y,"$200,000+",rural,2.8289675895863123e-09,0.9389166477914241
81,100081,20-24,With children,y,y,n,n,n,"$70,000 - $99,000",urban,1.4754517894400173e-06,489.6932199641988
82,100082,20-24,With children,y,y,n,n,n,"$70,000 - $99,000",suburb,6.368422832677333e-07,211.36397036807884
83,100083,20-24,With children,y,y,n,n,n,"$70,000 - $99,000",rural,3.766585886043198e-07,125.01062955830201
84,100084,20-24,With children,y,y,n,n,n,"$100,000 - $199,000",urban,1.8060539963335223e-06,599.418024515349
85,100085,20-24,With children,y,y,n,n,n,"$100,000 - $199,000",suburb,7.801312640284124e-07,258.9206868099736
86,100086,20-24,With children,y,y,n,n,n,"$100,000 - $199,000",rural,3.696451900232548e-07,122.68292643805468
87,100087,20-24,With children,y,y,n,n,n,"$200,000+",urban,8.587928428137002e-07,285.0279727806353
88,100088,20-24,With children,y,y,n,n,n,"$200,000+",suburb,2.610113084944138e-07,86.6280206635613
89,100089,20-24,With children,y,y,n,n,n,"$200,000+",rural,7.23260145175915e-08,24.004551819167812
90,100090,20-24,With children,y,n,y,y,y,"$70,000 - $99,000",urban,4.3364643639510395e-09,1.4392453978107536
91,100091,20-24,With children,y,n,y,y,y,"$70,000 - $99,000",suburb,1.8717276203893273e-09,0.6212146895509522
92,100092,20-24,With children,y,n,y,y,y,"$70,000 - $99,000",rural,1.1070280700114535e-09,0.3674156919762235
93,100093,20-24,With children,y,n,y,y,y,"$100,000 - $199,000",urban,5.308129245920086e-09,1.7617348943724431
94,100094,20-24,With children,y,n,y,y,y,"$100,000 - $199,000",suburb,2.292864768524395e-09,0.7609874748041195
95,100095,20-24,With children,y,n,y,y,y,"$100,000 - $199,000",rural,1.086415161318235e-09,0.36057439651468814
96,100096,20-24,With children,y,n,y,y,y,"$200,000+",urban,2.5240570959565174e-09,0.837718762170833
97,100097,20-24,With children,y,n,y,y,y,"$200,000+",suburb,7.671319700007528e-10,0.2546063024327775
